vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
100,0.0,0,0.000355,0.000333,0.000271,100,1
100,0.010101,101,0.002353,0.002322,0.002357,96,1
100,0.020202,200,0.004393,0.004047,0.004055,41,1
100,0.030303,297,0.005402,0.005002,0.005553,12,1
100,0.040404,394,0.00705,0.007072,0.006974,2,1
100,0.050505,490,0.008171,0.008723,0.008279,2,1
100,0.060606,583,0.008488,0.010029,0.009459,1,1
100,0.070707,680,0.010698,0.010847,0.011068,1,1
100,0.080808,773,0.011698,0.012203,0.011863,1,1
100,0.090909,864,0.012595,0.01341,0.012908,1,1
100,0.10101,961,0.014303,0.013517,0.015077,1,1
100,0.111111,1050,0.015549,0.015048,0.01518,1,1
100,0.121212,1141,0.017058,0.015329,0.015257,1,1
100,0.131313,1235,0.016818,0.016572,0.017741,1,1
100,0.141414,1323,0.017753,0.019858,0.016053,1,1
100,0.151515,1409,0.018928,0.021641,0.017524,1,1
100,0.161616,1493,0.014444,0.015072,0.015291,1,1
100,0.171717,1578,0.020452,0.02449,0.019082,1,1
100,0.181818,1661,0.022487,0.021356,0.022982,1,1
100,0.191919,1748,0.023134,0.024017,0.026434,1,1
100,0.20202,1832,0.023043,0.025094,0.024368,1,1
100,0.212121,1918,0.025032,0.02545,0.024764,1,1
100,0.222222,1993,0.023309,0.022513,0.026141,1,1
100,0.232323,2074,0.021982,0.022929,0.023441,1,1
100,0.242424,2159,0.023483,0.023504,0.030095,1,1
100,0.252525,2244,0.020318,0.02843,0.028409,1,1
100,0.262626,2326,0.028856,0.034286,0.029445,1,1
100,0.272727,2408,0.026278,0.025302,0.032356,1,1
100,0.282828,2479,0.030165,0.030979,0.032056,1,1
100,0.292929,2555,0.030796,0.03044,0.032824,1,1
100,0.30303,2629,0.031487,0.033065,0.033294,1,1
100,0.313131,2699,0.032526,0.032281,0.032932,1,1
100,0.323232,2774,0.032254,0.037324,0.032835,1,1
100,0.333333,2856,0.034909,0.034546,0.03575,1,1
100,0.343434,2927,0.036256,0.039796,0.03359,1,1
100,0.353535,2999,0.030439,0.038883,0.026742,1,1
100,0.363636,3071,0.031396,0.033492,0.033653,1,1
100,0.373737,3139,0.037595,0.038877,0.038578,1,1
100,0.383838,3207,0.038779,0.040524,0.040379,1,1
100,0.393939,3268,0.038709,0.04025,0.040162,1,1
100,0.40404,3327,0.03975,0.040683,0.040998,1,1
100,0.414141,3399,0.041659,0.042098,0.042304,1,1
100,0.424242,3463,0.043593,0.04253,0.044749,1,1
100,0.434343,3533,0.04317,0.049213,0.043578,1,1
100,0.444444,3603,0.044483,0.049506,0.041341,1,1
100,0.454545,3665,0.039529,0.046882,0.047338,1,1
100,0.464646,3730,0.046058,0.046991,0.047527,1,1
100,0.474747,3796,0.046331,0.04636,0.046445,1,1
100,0.484848,3861,0.047194,0.051971,0.045926,1,1
100,0.494949,3920,0.046524,0.047353,0.047741,1,1
100,0.505051,3977,0.04777,0.053225,0.048907,1,1
100,0.515152,4042,0.048804,0.050384,0.04914,1,1
100,0.525253,4090,0.048552,0.041091,0.050393,1,1
100,0.535354,4139,0.047835,0.048522,0.041343,1,1
100,0.545455,4203,0.047717,0.057196,0.04499,1,1
100,0.555556,4260,0.048282,0.058133,0.04408,1,1
100,0.565657,4329,0.056821,0.050807,0.053316,1,1
100,0.575758,4379,0.057506,0.051789,0.052093,1,1
100,0.585859,4434,0.048208,0.052938,0.051844,1,1
100,0.59596,4496,0.040652,0.053956,0.053648,1,1
100,0.606061,4547,0.053721,0.054805,0.053947,1,1
100,0.616162,4604,0.047547,0.047019,0.053327,1,1
100,0.626263,4654,0.045201,0.047961,0.046851,1,1
100,0.636364,4705,0.054674,0.055332,0.055406,1,1
100,0.646465,4772,0.056321,0.056292,0.057452,1,1
100,0.656566,4820,0.05708,0.05724,0.058087,1,1
100,0.666667,4876,0.057396,0.057272,0.054758,1,1
100,0.676768,4930,0.057725,0.058342,0.057761,1,1
100,0.686869,4976,0.058059,0.057116,0.057451,1,1
100,0.69697,5023,0.049225,0.050546,0.050724,1,1
100,0.707071,5082,0.042709,0.056877,0.060412,1,1
100,0.717172,5135,0.058955,0.059292,0.059382,1,1
100,0.727273,5186,0.045324,0.057245,0.060245,1,1
100,0.737374,5234,0.060048,0.051963,0.052921,1,1
100,0.747475,5277,0.065617,0.061052,0.060492,1,1
100,0.757576,5324,0.060615,0.05422,0.053568,1,1
100,0.767677,5364,0.051722,0.052929,0.05291,1,1
100,0.777778,5405,0.062671,0.062572,0.051747,1,1
100,0.787879,5460,0.063352,0.063709,0.063645,1,1
100,0.79798,5509,0.062478,0.061866,0.063138,1,1
100,0.808081,5555,0.051278,0.063982,0.06181,1,1
100,0.818182,5598,0.062852,0.065022,0.065072,1,1
100,0.828283,5639,0.053094,0.055696,0.054736,1,1
100,0.838384,5685,0.054217,0.068605,0.049356,1,1
100,0.848485,5725,0.064698,0.065409,0.065453,1,1
100,0.858586,5768,0.064657,0.063673,0.063834,1,1
100,0.868687,5810,0.06563,0.06545,0.0601,1,1
100,0.878788,5855,0.066545,0.066487,0.06584,1,1
100,0.888889,5891,0.060078,0.058558,0.063935,1,1
100,0.89899,5926,0.056417,0.0586,0.068476,1,1
100,0.909091,5971,0.060229,0.06763,0.067264,1,1
100,0.919192,6016,0.066482,0.069322,0.067009,1,1
100,0.929293,6058,0.06876,0.068354,0.062806,1,1
100,0.939394,6097,0.075921,0.061961,0.06962,1,1
100,0.949495,6133,0.076952,0.058063,0.062223,1,1
100,0.959596,6175,0.068769,0.053677,0.071063,1,1
100,0.969697,6219,0.068968,0.064505,0.071377,1,1
100,0.979798,6252,0.079802,0.064857,0.072112,1,1
100,0.989899,6296,0.079471,0.064151,0.071266,1,1
100,1.0,6344,0.081185,0.06553,0.074144,1,1
200,0.0,0,0.000913,0.000902,0.000875,200,1
200,0.002513,100,0.005154,0.005056,0.005645,200,1
200,0.005025,199,0.0094,0.009243,0.009246,199,1
200,0.007538,300,0.011234,0.011647,0.011434,152,1
200,0.01005,400,0.014155,0.013874,0.013492,85,1
200,0.012563,501,0.018401,0.015735,0.018909,42,1
200,0.015075,602,0.022315,0.021494,0.021678,21,1
200,0.017588,699,0.024192,0.022062,0.021061,11,1
200,0.020101,796,0.030653,0.028531,0.027644,6,1
200,0.022613,895,0.033767,0.030931,0.030179,5,1
200,0.025126,994,0.035645,0.033642,0.032571,2,1
200,0.027638,1092,0.037218,0.033398,0.034765,1,1
200,0.030151,1189,0.042047,0.037817,0.038161,1,1
200,0.032663,1288,0.037178,0.030652,0.040414,1,1
200,0.035176,1387,0.048756,0.04614,0.045462,1,1
200,0.037688,1480,0.051172,0.045474,0.045601,1,1
200,0.040201,1574,0.051941,0.047779,0.047758,1,1
200,0.042714,1668,0.056389,0.051253,0.050105,1,1
200,0.045226,1766,0.056336,0.045657,0.044141,1,1
200,0.047739,1864,0.063164,0.053627,0.054939,1,1
200,0.050251,1963,0.061453,0.057343,0.0614,1,1
200,0.052764,2059,0.06305,0.066282,0.061036,1,1
200,0.055276,2155,0.07114,0.062484,0.062619,1,1
200,0.057789,2245,0.074326,0.060412,0.068978,1,1
200,0.060302,2344,0.076505,0.068418,0.067731,1,1
200,0.062814,2440,0.071295,0.068277,0.068994,1,1
200,0.065327,2536,0.072702,0.061623,0.060085,1,1
200,0.067839,2631,0.075249,0.063323,0.06452,1,1
200,0.070352,2728,0.082941,0.069098,0.07563,1,1
200,0.072864,2820,0.088532,0.077754,0.077157,1,1
200,0.075377,2916,0.091089,0.073647,0.079292,1,1
200,0.077889,3007,0.094946,0.081718,0.081979,1,1
200,0.080402,3100,0.088868,0.082879,0.08378,1,1
200,0.082915,3193,0.088002,0.064683,0.072983,1,1
200,0.085427,3283,0.098278,0.058431,0.089419,1,1
200,0.08794,3378,0.105524,0.089943,0.090099,1,1
200,0.090452,3476,0.102915,0.092575,0.092275,1,1
200,0.092965,3567,0.10652,0.09551,0.075689,1,1
200,0.095477,3662,0.10237,0.096587,0.093553,1,1
200,0.09799,3748,0.091801,0.082961,0.085149,1,1
200,0.100503,3836,0.10472,0.109219,0.092071,1,1
200,0.103015,3928,0.119467,0.102837,0.103551,1,1
200,0.105528,4024,0.123345,0.105352,0.096857,1,1
200,0.10804,4117,0.117658,0.118137,0.085995,1,1
200,0.110553,4211,0.112956,0.092236,0.094068,1,1
200,0.113065,4298,0.118691,0.106976,0.112651,1,1
200,0.115578,4385,0.127158,0.111879,0.103566,1,1
200,0.11809,4473,0.122242,0.130705,0.114392,1,1
200,0.120603,4561,0.109779,0.100886,0.112889,1,1
200,0.123116,4652,0.136437,0.10512,0.119113,1,1
200,0.125628,4743,0.140042,0.110499,0.130102,1,1
200,0.128141,4839,0.142401,0.121453,0.122101,1,1
200,0.130653,4928,0.130507,0.119287,0.107206,1,1
200,0.133166,5016,0.145599,0.126373,0.12857,1,1
200,0.135678,5096,0.15046,0.130304,0.118681,1,1
200,0.138191,5183,0.154507,0.131682,0.11745,1,1
200,0.140704,5267,0.136595,0.128613,0.094402,1,1
200,0.143216,5355,0.152196,0.121309,0.135632,1,1
200,0.145729,5437,0.158561,0.13425,0.11891,1,1
200,0.148241,5528,0.160832,0.13811,0.12418,1,1
200,0.150754,5618,0.150511,0.122295,0.129315,1,1
200,0.153266,5704,0.164695,0.140944,0.141716,1,1
200,0.155779,5789,0.167392,0.128439,0.160365,1,1
200,0.158291,5870,0.173143,0.137375,0.134968,1,1
200,0.160804,5957,0.174181,0.135741,0.131055,1,1
200,0.163317,6042,0.171976,0.125863,0.146431,1,1
200,0.165829,6126,0.1621,0.153895,0.153525,1,1
200,0.168342,6211,0.177058,0.15363,0.133495,1,1
200,0.170854,6296,0.179658,0.154132,0.136117,1,1
200,0.173367,6372,0.180442,0.107579,0.154854,1,1
200,0.175879,6452,0.178112,0.152607,0.139947,1,1
200,0.178392,6536,0.181695,0.122776,0.148944,1,1
200,0.180905,6617,0.175045,0.127868,0.165613,1,1
200,0.183417,6699,0.198105,0.171403,0.16305,1,1
200,0.18593,6782,0.203811,0.126626,0.148044,1,1
200,0.188442,6861,0.195248,0.154144,0.141886,1,1
200,0.190955,6949,0.174529,0.130171,0.178422,1,1
200,0.193467,7029,0.301342,0.177613,0.192601,1,1
200,0.19598,7111,0.174809,0.203325,0.156588,1,1
200,0.198492,7198,0.19526,0.168848,0.17903,1,1
200,0.201005,7281,0.206231,0.141221,0.165361,1,1
200,0.203518,7365,0.203481,0.13796,0.16074,1,1
200,0.20603,7443,0.201292,0.131511,0.151841,1,1
200,0.208543,7525,0.224278,0.191911,0.186801,1,1
200,0.211055,7617,0.20475,0.209672,0.174045,1,1
200,0.213568,7699,0.308855,0.152873,0.236645,1,1
200,0.21608,7783,0.21159,0.18515,0.175104,1,1
200,0.218593,7867,0.19602,0.239371,0.244512,1,1
200,0.221106,7946,0.182087,0.226766,0.276078,1,1
200,0.223618,8024,0.206611,0.194024,0.197949,1,1
200,0.226131,8102,0.200195,0.195588,0.249661,1,1
200,0.228643,8179,0.197312,0.209498,0.186942,1,1
200,0.231156,8260,0.251262,0.187856,0.201032,1,1
200,0.233668,8346,0.213546,0.160102,0.185559,1,1
200,0.236181,8418,0.221215,0.150479,0.202345,1,1
200,0.238693,8504,0.354067,0.148806,0.319749,1,1
200,0.241206,8589,0.23413,0.179894,0.223393,1,1
200,0.243719,8665,0.338057,0.241481,0.207521,1,1
200,0.246231,8745,0.225469,0.188949,0.247797,1,1
200,0.248744,8825,0.274345,0.2003,0.181261,1,1
200,0.251256,8897,0.26358,0.173144,0.197321,1,1
200,0.253769,8974,0.235169,0.206994,0.233556,1,1
200,0.256281,9054,0.235198,0.195527,0.199328,1,1
200,0.258794,9131,0.245296,0.236145,0.20737,1,1
200,0.261307,9214,0.227971,0.192878,0.184372,1,1
200,0.263819,9289,0.229867,0.189346,0.214215,1,1
200,0.266332,9367,0.284534,0.197247,0.188764,1,1
200,0.268844,9446,0.277663,0.218746,0.219929,1,1
200,0.271357,9511,0.236401,0.184831,0.219536,1,1
200,0.273869,9596,0.26274,0.225838,0.205956,1,1
200,0.276382,9676,0.277002,0.205118,0.258378,1,1
200,0.278894,9749,0.252339,0.217901,0.19677,1,1
200,0.281407,9829,0.293036,0.227207,0.248217,1,1
200,0.28392,9897,0.262286,0.215529,0.227067,1,1
200,0.286432,9975,0.262787,0.222343,0.205952,1,1
200,0.288945,10048,0.302935,0.326252,0.239855,1,1
200,0.291457,10128,0.268913,0.20895,0.219518,1,1
200,0.29397,10201,0.342269,0.303953,0.21377,1,1
200,0.296482,10284,0.269791,0.214345,0.200899,1,1
200,0.298995,10354,0.276017,0.227331,0.234249,1,1
200,0.301508,10429,0.269782,0.223037,0.209398,1,1
200,0.30402,10501,0.255113,0.241217,0.238433,1,1
200,0.306533,10578,0.280598,0.225185,0.242749,1,1
200,0.309045,10653,0.360528,0.208586,0.230295,1,1
200,0.311558,10723,0.282764,0.245499,0.249884,1,1
200,0.31407,10805,0.296308,0.247489,0.246221,1,1
200,0.316583,10891,0.292554,0.265504,0.258408,1,1
200,0.319095,10965,0.322926,0.236517,0.250089,1,1
200,0.321608,11033,0.252398,0.252538,0.242697,1,1
200,0.324121,11109,0.27038,0.250879,0.259545,1,1
200,0.326633,11182,0.279189,0.261665,0.226211,1,1
200,0.329146,11251,0.294338,0.216815,0.26802,1,1
200,0.331658,11325,0.280735,0.269395,0.269485,1,1
200,0.334171,11399,0.300247,0.227121,0.251945,1,1
200,0.336683,11473,0.286009,0.235183,0.230672,1,1
200,0.339196,11547,0.408535,0.32281,0.294206,1,1
200,0.341709,11614,0.342603,0.258206,0.443817,1,1
200,0.344221,11687,0.311133,0.234283,0.223561,1,1
200,0.346734,11762,0.455583,0.272574,0.339338,1,1
200,0.349246,11843,0.430236,0.383325,0.313902,1,1
200,0.351759,11912,0.311559,0.260017,0.267195,1,1
200,0.354271,11984,0.319738,0.255529,0.240429,1,1
200,0.356784,12060,0.301961,0.241254,0.247312,1,1
200,0.359296,12131,0.298333,0.257882,0.260192,1,1
200,0.361809,12202,0.307967,0.251697,0.264097,1,1
200,0.364322,12270,0.291917,0.274892,0.262056,1,1
200,0.366834,12337,0.31159,0.238426,0.258621,1,1
200,0.369347,12404,0.279266,0.269723,0.262401,1,1
200,0.371859,12477,0.322171,0.269866,0.261909,1,1
200,0.374372,12552,0.355823,0.24207,0.27385,1,1
200,0.376884,12613,0.338124,0.281264,0.329461,1,1
200,0.379397,12688,0.309314,0.261847,0.26364,1,1
200,0.38191,12758,0.312083,0.275933,0.283939,1,1
200,0.384422,12825,0.325375,0.257821,0.284946,1,1
200,0.386935,12889,0.435323,0.330186,0.296618,1,1
200,0.389447,12960,0.314881,0.254815,0.359007,1,1
200,0.39196,13027,0.390159,0.358518,0.293079,1,1
200,0.394472,13097,0.364656,0.262695,0.25639,1,1
200,0.396985,13161,0.338686,0.278343,0.289578,1,1
200,0.399497,13225,0.334961,0.273382,0.29104,1,1
200,0.40201,13284,0.343395,0.268272,0.324741,1,1
200,0.404523,13349,0.358814,0.299759,0.302439,1,1
200,0.407035,13413,0.419171,0.345018,0.304926,1,1
200,0.409548,13474,0.343275,0.297615,0.290214,1,1
200,0.41206,13541,0.368753,0.294869,0.301608,1,1
200,0.414573,13602,0.353696,0.268791,0.291798,1,1
200,0.417085,13674,0.346192,0.27586,0.261723,1,1
200,0.419598,13742,0.353113,0.277935,0.273205,1,1
200,0.422111,13807,0.368887,0.290917,0.296934,1,1
200,0.424623,13865,0.36019,0.279628,0.269813,1,1
200,0.427136,13934,0.35875,0.296661,0.333345,1,1
200,0.429648,13994,0.359116,0.304695,0.298597,1,1
200,0.432161,14055,0.39284,0.299729,0.30414,1,1
200,0.434673,14117,0.367219,0.274916,0.277834,1,1
200,0.437186,14184,0.355746,0.293433,0.306857,1,1
200,0.439698,14253,0.384784,0.274448,0.307841,1,1
200,0.442211,14318,0.37094,0.309192,0.326907,1,1
200,0.444724,14379,0.381046,0.282461,0.292934,1,1
200,0.447236,14442,0.373874,0.333777,0.367172,1,1
200,0.449749,14509,0.380092,0.322001,0.312312,1,1
200,0.452261,14559,0.39763,0.288843,0.317308,1,1
200,0.454774,14623,0.375288,0.310734,0.276705,1,1
200,0.457286,14683,0.379773,0.318799,0.324025,1,1
200,0.459799,14748,0.385054,0.300539,0.31035,1,1
200,0.462312,14811,0.389343,0.315911,0.338821,1,1
200,0.464824,14872,0.408184,0.316238,0.310155,1,1
200,0.467337,14942,0.433398,0.345627,0.341965,1,1
200,0.469849,15004,0.395914,0.314271,0.317075,1,1
200,0.472362,15071,0.398303,0.310046,0.313564,1,1
200,0.474874,15133,0.521842,0.364037,0.339524,1,1
200,0.477387,15191,0.399196,0.315303,0.321036,1,1
200,0.479899,15237,0.399222,0.33506,0.324624,1,1
200,0.482412,15300,0.383652,0.367408,0.323455,1,1
200,0.484925,15365,0.403671,0.339699,0.348397,1,1
200,0.487437,15424,0.391572,0.324037,0.331194,1,1
200,0.48995,15490,0.393498,0.308609,0.324016,1,1
200,0.492462,15554,0.37935,0.308381,0.32153,1,1
200,0.494975,15613,0.479329,0.390064,0.379333,1,1
200,0.497487,15666,0.397918,0.337179,0.321387,1,1
200,0.5,15727,0.404631,0.331431,0.320896,1,1
200,0.502513,15779,0.411098,0.33086,0.340899,1,1
200,0.505025,15834,0.394817,0.317485,0.335521,1,1
200,0.507538,15898,0.397249,0.458505,0.389176,1,1
200,0.51005,15954,0.413604,0.321914,0.314752,1,1
200,0.512563,16011,0.413733,0.337119,0.34401,1,1
200,0.515075,16070,0.471878,0.360322,0.335206,1,1
200,0.517588,16134,0.41792,0.366567,0.34485,1,1
200,0.520101,16200,0.411151,0.327458,0.367953,1,1
200,0.522613,16263,0.457422,0.341028,0.347033,1,1
200,0.525126,16316,0.405149,0.32795,0.339314,1,1
200,0.527638,16377,0.423159,0.35785,0.354869,1,1
200,0.530151,16437,0.418366,0.341515,0.352899,1,1
200,0.532663,16493,0.398896,0.340712,0.35056,1,1
200,0.535176,16560,0.415906,0.382072,0.343794,1,1
200,0.537688,16620,0.434333,0.348331,0.331975,1,1
200,0.540201,16684,0.431912,0.342876,0.355093,1,1
200,0.542714,16746,0.417727,0.32887,0.349833,1,1
200,0.545226,16811,0.423981,0.358421,0.348265,1,1
200,0.547739,16864,0.412828,0.345643,0.357375,1,1
200,0.550251,16930,0.442235,0.369017,0.362367,1,1
200,0.552764,16991,0.452504,0.395344,0.329606,1,1
200,0.555276,17058,0.433103,0.339066,0.346728,1,1
200,0.557789,17113,0.445254,0.350929,0.350591,1,1
200,0.560302,17166,0.43661,0.350468,0.365108,1,1
200,0.562814,17226,0.476095,0.359778,0.373084,1,1
200,0.565327,17277,0.424775,0.362101,0.345146,1,1
200,0.567839,17337,0.422936,0.356518,0.349628,1,1
200,0.570352,17394,0.424091,0.384778,0.367454,1,1
200,0.572864,17454,0.43446,0.350266,0.359662,1,1
200,0.575377,17508,0.436044,0.369308,0.345798,1,1
200,0.577889,17563,0.454957,0.376078,0.378408,1,1
200,0.580402,17622,0.414841,0.380072,0.366014,1,1
200,0.582915,17684,0.488228,0.376538,0.352134,1,1
200,0.585427,17746,0.444139,0.3613,0.347438,1,1
200,0.58794,17800,0.440048,0.36715,0.367252,1,1
200,0.590452,17853,0.529687,0.364987,0.373127,1,1
200,0.592965,17907,0.465294,0.348625,0.350052,1,1
200,0.595477,17962,0.424228,0.346819,0.347812,1,1
200,0.59799,18012,0.446955,0.362525,0.395873,1,1
200,0.600503,18073,0.485689,0.371402,0.372572,1,1
200,0.603015,18126,0.463515,0.356759,0.371472,1,1
200,0.605528,18181,0.45534,0.43519,0.383517,1,1
200,0.60804,18239,0.455122,0.379374,0.386382,1,1
200,0.610553,18295,0.497226,0.371514,0.383172,1,1
200,0.613065,18346,0.437369,0.376718,0.392731,1,1
200,0.615578,18394,0.484766,0.37363,0.379534,1,1
200,0.61809,18447,0.460459,0.360494,0.366936,1,1
200,0.620603,18495,0.468948,0.377764,0.356134,1,1
200,0.623116,18543,0.435105,0.373095,0.380563,1,1
200,0.625628,18599,0.467561,0.373744,0.390858,1,1
200,0.628141,18656,0.451748,0.409755,0.381811,1,1
200,0.630653,18704,0.449065,0.379919,0.37366,1,1
200,0.633166,18755,0.458001,0.386125,0.402201,1,1
200,0.635678,18807,0.483208,0.388811,0.398705,1,1
200,0.638191,18854,0.506298,0.422063,0.379978,1,1
200,0.640704,18906,0.521858,0.377774,0.359806,1,1
200,0.643216,18959,0.477527,0.370498,0.408781,1,1
200,0.645729,19017,0.457585,0.392359,0.371306,1,1
200,0.648241,19071,0.443307,0.390877,0.396333,1,1
200,0.650754,19127,0.444423,0.34534,0.39841,1,1
200,0.653266,19182,0.457388,0.369392,0.372411,1,1
200,0.655779,19230,0.463263,0.39305,0.43815,1,1
200,0.658291,19285,0.479273,0.387544,0.382702,1,1
200,0.660804,19333,0.454491,0.390096,0.388604,1,1
200,0.663317,19388,0.609109,0.398792,0.406952,1,1
200,0.665829,19437,0.53463,0.393809,0.405713,1,1
200,0.668342,19486,0.462592,0.403425,0.429594,1,1
200,0.670854,19538,0.46776,0.36126,0.372,1,1
200,0.673367,19594,0.493459,0.391542,0.401818,1,1
200,0.675879,19640,0.476642,0.385435,0.390334,1,1
200,0.678392,19686,0.463159,0.391426,0.405003,1,1
200,0.680905,19733,0.475164,0.374958,0.394393,1,1
200,0.683417,19786,0.480014,0.392138,0.377837,1,1
200,0.68593,19828,0.490412,0.39538,0.380837,1,1
200,0.688442,19879,0.52411,0.409096,0.398847,1,1
200,0.690955,19925,0.46342,0.375193,0.398998,1,1
200,0.693467,19975,0.460671,0.36978,0.386901,1,1
200,0.69598,20023,0.494645,0.360668,0.380797,1,1
200,0.698492,20069,0.476241,0.409673,0.403275,1,1
200,0.701005,20120,0.468206,0.419319,0.413318,1,1
200,0.703518,20164,0.494331,0.399791,0.402858,1,1
200,0.70603,20209,0.474869,0.383455,0.409602,1,1
200,0.708543,20258,0.506808,0.431316,0.36891,1,1
200,0.711055,20312,0.486578,0.376572,0.384795,1,1
200,0.713568,20359,0.505789,0.392989,0.40829,1,1
200,0.71608,20403,0.504336,0.414417,0.416675,1,1
200,0.718593,20452,0.465539,0.383637,0.410757,1,1
200,0.721106,20508,0.521793,0.393665,0.425174,1,1
200,0.723618,20554,0.500483,0.498203,0.445522,1,1
200,0.726131,20603,0.489072,0.416023,0.389342,1,1
200,0.728643,20656,0.498818,0.414235,0.384961,1,1
200,0.731156,20704,0.488417,0.386289,0.406487,1,1
200,0.733668,20757,0.502236,0.424828,0.42085,1,1
200,0.736181,20800,0.487839,0.413917,0.426672,1,1
200,0.738693,20846,0.488828,0.402446,0.431249,1,1
200,0.741206,20892,0.47965,0.387459,0.405997,1,1
200,0.743719,20934,0.515111,0.390415,0.395664,1,1
